               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1018,            0.039955,             0.02435,           0.0045299,             0.60294,           0.0050509,           0.0013061,            0.075073,            0.027176,             0.01862,            0.070857,           0.0032381,           0.0032381
                   1,            0.083792,            0.042765,            0.022854,            0.005616,             0.75368,            0.021905,           0.0057423,            0.059077,            0.026848,            0.017405,            0.040776,           0.0064901,           0.0064901
                   2,            0.073712,            0.046959,            0.023009,           0.0066681,             0.90993,            0.052147,            0.012455,            0.061026,            0.023336,            0.017809,            0.010612,           0.0096596,           0.0096596
                   3,            0.062741,            0.045212,            0.021537,            0.098956,             0.29779,             0.21253,            0.060771,            0.053676,            0.022747,            0.016676,           0.0096288,           0.0096288,           0.0096288
                   4,            0.064422,            0.042343,            0.023538,             0.20269,             0.23713,             0.20942,            0.074906,            0.051404,            0.020483,            0.016179,           0.0096288,           0.0096288,           0.0096288
                   5,            0.060692,            0.041348,            0.021934,             0.12006,             0.11765,             0.18172,            0.056732,            0.049533,            0.020488,            0.016942,            0.009505,            0.009505,            0.009505
                   6,            0.062672,            0.046428,            0.021848,             0.26144,             0.23897,             0.19462,            0.079296,            0.044341,            0.021344,            0.017236,           0.0093813,           0.0093813,           0.0093813
                   7,            0.053781,            0.041875,            0.020952,             0.27186,              0.2114,             0.24177,            0.098283,            0.044817,            0.021292,            0.017378,           0.0092575,           0.0092575,           0.0092575
                   8,            0.051798,            0.039127,            0.020195,             0.22286,             0.48346,             0.25807,             0.12689,            0.039739,            0.021212,             0.01754,           0.0091337,           0.0091337,           0.0091337
                   9,            0.054807,            0.037221,            0.021435,              0.1963,             0.48529,             0.21202,            0.093106,            0.045783,            0.019374,            0.017352,             0.00901,             0.00901,             0.00901
                  10,            0.058079,            0.040714,            0.020549,             0.21932,             0.36029,             0.27319,             0.10143,            0.046752,            0.018361,            0.016777,           0.0088863,           0.0088863,           0.0088863
                  11,            0.054199,            0.033468,            0.019487,             0.25989,             0.40349,             0.32972,             0.15768,             0.03978,            0.019519,            0.016907,           0.0087625,           0.0087625,           0.0087625
                  12,            0.055226,            0.040225,            0.019532,             0.35599,              0.2114,             0.34977,             0.14713,            0.038363,            0.018211,            0.016203,           0.0086388,           0.0086388,           0.0086388
                  13,            0.051127,            0.037734,            0.020552,             0.37734,             0.42096,             0.42271,             0.19729,            0.039498,            0.018358,            0.015685,            0.008515,            0.008515,            0.008515
                  14,            0.049513,            0.035194,            0.019234,             0.44707,             0.30727,              0.3732,             0.15174,            0.032244,            0.018216,            0.015137,           0.0083913,           0.0083913,           0.0083913
                  15,            0.052002,            0.040105,            0.019607,             0.23195,             0.57169,              0.3643,              0.1534,            0.032863,            0.017826,            0.015636,           0.0082675,           0.0082675,           0.0082675
                  16,             0.04459,            0.036171,            0.019986,             0.33476,             0.50919,             0.44063,             0.23536,            0.031308,            0.018332,            0.015388,           0.0081437,           0.0081437,           0.0081437
                  17,            0.039322,            0.036541,            0.017982,             0.41481,             0.57169,             0.51729,             0.27398,            0.027317,            0.017899,            0.015344,             0.00802,             0.00802,             0.00802
                  18,            0.045147,              0.0371,            0.018937,              0.4476,             0.59562,             0.54044,             0.33698,            0.025568,            0.018291,            0.015207,           0.0078963,           0.0078963,           0.0078963
                  19,            0.043116,            0.039679,            0.018491,             0.46564,              0.6359,             0.53467,             0.34922,            0.025737,            0.017942,              0.0149,           0.0077725,           0.0077725,           0.0077725
                  20,            0.044452,            0.040805,            0.018564,             0.37511,             0.48162,             0.43372,             0.23734,            0.027949,            0.017703,            0.013949,           0.0076488,           0.0076488,           0.0076488
                  21,            0.046947,            0.037768,            0.018502,             0.40028,              0.5152,             0.44582,             0.21916,            0.034053,            0.017019,            0.013776,            0.007525,            0.007525,            0.007525
                  22,            0.047913,            0.033186,            0.017011,              0.4105,             0.50919,             0.53012,             0.28451,            0.030484,            0.017914,            0.012741,           0.0074013,           0.0074013,           0.0074013
                  23,            0.043734,            0.035016,            0.017582,             0.43934,             0.48938,             0.49887,             0.31657,            0.033848,             0.01797,            0.012795,           0.0072775,           0.0072775,           0.0072775
                  24,            0.045704,            0.033879,            0.017419,              0.6034,              0.4721,             0.57546,             0.33308,            0.032016,            0.016971,            0.012495,           0.0071538,           0.0071538,           0.0071538
                  25,            0.042224,             0.03473,            0.016644,             0.57596,             0.45037,             0.53978,             0.31715,            0.027153,             0.01699,            0.011976,             0.00703,             0.00703,             0.00703
                  26,            0.042243,            0.039854,            0.017515,             0.67129,             0.52782,             0.64423,             0.37791,            0.025749,            0.017016,            0.011556,           0.0069063,           0.0069063,           0.0069063
                  27,            0.035084,            0.035003,            0.016039,             0.68816,             0.51287,             0.66109,             0.39966,            0.025469,            0.016667,            0.011083,           0.0067825,           0.0067825,           0.0067825
                  28,            0.038438,             0.03613,            0.014837,             0.62457,             0.53958,             0.59929,             0.39158,            0.024629,            0.016627,            0.010921,           0.0066587,           0.0066587,           0.0066587
                  29,            0.038975,            0.034716,            0.015461,             0.67322,             0.50159,             0.60392,             0.40275,            0.025549,            0.016393,            0.010692,            0.006535,            0.006535,            0.006535
                  30,            0.043634,            0.037546,            0.016842,             0.48154,             0.60112,             0.57408,             0.25526,            0.028186,            0.016466,            0.009922,           0.0064112,           0.0064112,           0.0064112
                  31,            0.037263,            0.031672,            0.015086,             0.59165,             0.45221,             0.56979,             0.29175,            0.032035,            0.016171,           0.0094776,           0.0062875,           0.0062875,           0.0062875
